brand,model_year,mileage_km,engine_power_hp,engine_capacity_cc,fuel_type,transmission,damage_score,price_usd
Volkswagen,2024,4082.0,275.0,2.6,Gasoline,Automatic,0,45944.86
Ford,2020,69821.0,339.0,3.7,Gasoline,Automatic,0,40081.05
BMW,2019,85841.0,344.0,3.2,Diesel,Automatic,2,38547.86
Ford,2012,,165.0,2.0,Gasoline,Manual,2,6246.95
Volkswagen,2015,164656.0,197.0,2.3,Hybrid,Automatic,0,20829.08
Audi,2023,34708.0,245.0,2.8,Diesel,Manual,1,37906.51
Ford,2019,91391.0,171.0,2.6,Hybrid,Automatic,0,20533.39
Hyundai,2022,43040.0,166.0,1.9,Gasoline,Automatic,1,16544.64
Audi,2019,82295.0,347.0,3.4,Gasoline,Automatic,1,42980.78
Honda,2021,39024.0,216.0,2.6,Diesel,Automatic,0,30081.87
Toyota,2023,10903.0,371.0,3.5,Gasoline,Automatic,0,53734.64
Toyota,2018,98373.0,177.0,2.2,Diesel,Manual,2,13817.19
Toyota,2010,98845.0,293.0,3.2,Hybrid,Automatic,1,28748.99
Toyota,2014,166013.0,105.0,1.6,Gasoline,Automatic,2,3813.37
BMW,2013,112734.0,240.0,2.6,Diesel,Automatic,1,24435.46
Toyota,2017,86617.0,343.0,3.4,Gasoline,Automatic,3,23647.43
Honda,2020,54028.0,277.0,3.0,Gasoline,Manual,0,31238.21
Mercedes-Benz,2021,59300.0,418.0,4.0,Electric,Manual,0,72652.41
Toyota,2010,210037.0,121.0,2.0,Electric,Automatic,0,8973.83
Mercedes-Benz,2018,121792.0,360.0,4.0,Diesel,Automatic,0,49140.67
Honda,2015,113280.0,94.0,1.1,Hybrid,Manual,0,8291.53
Toyota,2013,190588.0,419.0,4.0,Diesel,Automatic,1,37507.27
BMW,2021,96540.0,397.0,3.6,Gasoline,Automatic,0,60648.74
Volkswagen,2018,103284.0,258.0,2.8,Gasoline,Manual,0,27291.52
Mercedes-Benz,2020,55660.0,270.0,3.1,Hybrid,Automatic,2,41013.05
BMW,2014,126056.0,267.0,3.1,Gasoline,Automatic,0,32340.76
Mercedes-Benz,2024,12386.0,232.0,2.9,Diesel,Automatic,0,58700.89
Honda,2014,121561.0,337.0,3.7,Diesel,Automatic,1,32036.69
Toyota,2021,69547.0,216.0,2.5,Diesel,Automatic,1,25363.21
BMW,2014,157852.0,352.0,3.8,Diesel,Automatic,0,41884.35
Mercedes-Benz,2010,93914.0,129.0,2.2,Gasoline,Manual,0,14940.56
Hyundai,2010,203289.0,344.0,3.5,Gasoline,Manual,1,25416.76
Ford,2017,140570.0,232.0,2.9,Diesel,Automatic,0,24247.8
Ford,2021,51215.0,329.0,3.4,Diesel,Automatic,0,42259.36
Mercedes-Benz,2017,93985.0,317.0,3.5,Diesel,Manual,1,37660.92
Ford,2021,45330.0,287.0,3.0,Diesel,Automatic,0,35741.66
Audi,2024,9992.0,154.0,2.0,Gasoline,Manual,0,39531.84
Mercedes-Benz,2024,16236.0,100.0,1.5,Hybrid,Automatic,0,45487.03
Ford,2015,130115.0,197.0,2.4,Diesel,Manual,3,10782.37
BMW,2021,68142.0,115.0,1.8,Gasoline,Automatic,3,19250.63
BMW,2020,92263.0,240.0,2.5,Diesel,Automatic,0,41480.92
Toyota,2022,52572.0,310.0,3.2,Hybrid,Manual,0,43287.42
Audi,2013,147657.0,326.0,3.2,Hybrid,Automatic,0,40119.38
Volkswagen,2011,202016.0,326.0,3.1,Gasoline,Automatic,0,33097.52
Mercedes-Benz,2023,20545.0,308.0,3.4,Diesel,Automatic,0,64897.88
Honda,2011,150367.0,240.0,3.0,Gasoline,Manual,1,16055.0
Audi,2018,112118.0,212.0,2.7,Gasoline,Automatic,0,29385.89
Ford,2024,13103.0,233.0,2.6,Diesel,Manual,0,31501.99
Toyota,2014,71086.0,278.0,3.0,Diesel,Automatic,0,30910.37
Audi,2013,122891.0,344.0,3.2,Diesel,Automatic,0,42488.7
Toyota,2019,84455.0,157.0,2.2,Gasoline,Automatic,0,18637.76
Honda,2022,55649.0,193.0,2.4,Gasoline,Automatic,0,27565.9
Audi,2010,182782.0,248.0,3.3,Diesel,Manual,1,18977.28
Audi,2016,136779.0,398.0,4.1,Gasoline,Manual,1,41917.72
Volkswagen,2012,165407.0,389.0,3.8,Gasoline,Automatic,0,40868.73
Volkswagen,2015,188711.0,179.0,2.3,Gasoline,Manual,0,13684.73
Ford,2014,204981.0,345.0,3.7,Gasoline,Manual,0,28087.08
Honda,2014,198455.0,309.0,3.0,Gasoline,Automatic,0,30786.21
Honda,2020,36258.0,98.0,1.9,Diesel,Manual,1,11213.66
BMW,2014,160074.0,101.0,1.5,Gasoline,Automatic,0,13050.49
BMW,2010,248096.0,414.0,3.8,Gasoline,Manual,1,35066.63
Mercedes-Benz,2010,224031.0,333.0,3.0,Diesel,Automatic,1,28167.34
Mercedes-Benz,2012,209504.0,271.0,3.1,Gasoline,Automatic,2,21144.78
Toyota,2023,29174.0,373.0,3.7,Diesel,Automatic,3,33000.9
Volkswagen,2021,50664.0,401.0,3.8,Gasoline,Manual,0,48573.57
Toyota,2019,48432.0,188.0,2.2,Gasoline,Automatic,3,15749.94
Volkswagen,2013,133004.0,286.0,3.3,Gasoline,Automatic,1,26122.28
Ford,2014,258875.0,315.0,3.2,Gasoline,Automatic,1,26877.55
Audi,2011,170923.0,192.0,2.2,Diesel,Automatic,0,19365.23
Ford,2017,63989.0,195.0,2.8,Hybrid,Automatic,2,19368.02
Toyota,2020,89969.0,147.0,1.9,Gasoline,Manual,0,16849.61
Toyota,2020,92293.0,167.0,2.4,Gasoline,Automatic,2,17427.25
Mercedes-Benz,2023,34203.0,164.0,1.9,Diesel,Automatic,0,44201.58
Volkswagen,2011,229027.0,,1.9,Diesel,Automatic,1,5121.68
Toyota,2018,120472.0,413.0,4.1,Hybrid,Manual,0,47078.27
Toyota,2011,294303.0,270.0,2.9,Gasoline,Automatic,0,18409.96
BMW,2022,31659.0,122.0,1.9,Electric,Automatic,0,42248.82
Toyota,2018,73383.0,160.0,2.0,Gasoline,Manual,0,16126.43
Mercedes-Benz,2016,92891.0,145.0,1.7,Gasoline,Manual,0,24334.53
BMW,2024,13829.0,194.0,2.7,Hybrid,Manual,0,50707.03
Toyota,2017,158410.0,289.0,3.0,Diesel,Automatic,1,24955.31
Toyota,2024,14688.0,190.0,2.4,Diesel,Manual,2,21733.87
Hyundai,2020,84375.0,345.0,3.6,Diesel,Automatic,1,33794.0
Ford,2011,110515.0,396.0,3.9,Diesel,Automatic,0,37748.02
Ford,2016,103098.0,163.0,2.0,Gasoline,Automatic,0,16020.52
Mercedes-Benz,2021,33574.0,260.0,3.1,Diesel,Automatic,0,49489.68
Audi,2015,178627.0,232.0,2.8,Gasoline,Manual,2,17568.44
Hyundai,2013,246348.0,255.0,2.9,Hybrid,Automatic,2,17017.78
BMW,2016,137235.0,350.0,3.5,Electric,Automatic,0,53528.64
Ford,2023,24457.0,310.0,3.6,Gasoline,Manual,0,40125.45
Toyota,2022,48738.0,172.0,2.1,Gasoline,Manual,2,16719.95
Mercedes-Benz,2013,156235.0,271.0,3.0,Gasoline,Automatic,2,24316.54
Volkswagen,2011,136063.0,396.0,3.7,Gasoline,Automatic,2,32454.42
Ford,2019,71286.0,99.0,1.3,Hybrid,Automatic,2,8862.68
Audi,2021,46517.0,93.0,1.3,Gasoline,Manual,0,23654.32
Toyota,2016,134102.0,381.0,3.5,Gasoline,Automatic,0,41761.04
Volkswagen,2017,101588.0,370.0,3.5,Hybrid,Manual,0,45482.6
Toyota,2011,133513.0,304.0,3.6,Hybrid,Automatic,0,31894.01
Ford,2014,198341.0,187.0,2.5,Diesel,Automatic,0,12791.85
Toyota,2010,202460.0,190.0,2.5,Diesel,Automatic,0,12756.77
Toyota,2016,101835.0,98.0,1.6,Diesel,Manual,0,8582.43
Toyota,2017,149500.0,150.0,2.1,Electric,Automatic,0,14970.73
BMW,2022,35013.0,398.0,4.3,Diesel,Manual,0,61796.83
BMW,2015,85206.0,235.0,2.4,Diesel,Automatic,0,32948.77
Volkswagen,2014,197231.0,152.0,2.2,Gasoline,Automatic,0,10894.38
Hyundai,2024,17045.0,210.0,2.8,Gasoline,Manual,1,23385.15
Ford,2015,118684.0,315.0,3.4,Diesel,Automatic,2,25416.08
Honda,2024,2598.0,194.0,2.7,Hybrid,Automatic,0,36779.63
Mercedes-Benz,2011,146120.0,349.0,3.5,Hybrid,Automatic,0,42600.22
Honda,2010,208649.0,344.0,3.6,Electric,Automatic,0,37683.75
Hyundai,2016,109323.0,296.0,3.1,Diesel,Automatic,1,25803.85
Toyota,2016,130263.0,117.0,1.9,Diesel,Automatic,0,9874.13
Hyundai,2019,90214.0,259.0,2.7,Hybrid,Manual,0,27913.18
Toyota,2020,,165.0,2.3,Diesel,Automatic,2,17687.45
Audi,2019,75278.0,205.0,2.5,Gasoline,Automatic,0,33127.13
Volkswagen,2023,9710.0,158.0,2.1,Diesel,Automatic,0,28362.03
Hyundai,2011,180327.0,323.0,3.7,Hybrid,Automatic,0,31654.39
Toyota,2011,189553.0,90.0,1.6,Gasoline,Automatic,0,4966.49
Volkswagen,2010,219485.0,256.0,3.1,Hybrid,Manual,0,21723.83
Hyundai,2019,86062.0,307.0,3.5,Gasoline,Manual,2,24380.73
Volkswagen,2017,136779.0,362.0,3.8,Diesel,Automatic,0,40863.05
Volkswagen,2024,9029.0,340.0,3.2,Diesel,Automatic,1,45602.24
BMW,2017,67784.0,263.0,3.0,Diesel,Automatic,0,39537.8
Ford,2010,235976.0,259.0,3.2,Gasoline,Automatic,0,20755.41
Volkswagen,2021,27047.0,335.0,3.0,Hybrid,Manual,0,48325.08
Volkswagen,2020,72296.0,179.0,2.2,Diesel,Automatic,0,27549.27
Audi,2017,79107.0,138.0,2.2,Gasoline,Automatic,0,22313.92
Toyota,2018,133151.0,383.0,3.7,Diesel,Automatic,0,41828.82
Honda,2023,34776.0,239.0,2.9,Gasoline,Automatic,2,24719.78
Audi,2013,159280.0,221.0,2.9,Gasoline,Automatic,0,23646.68
Audi,2010,271936.0,148.0,2.1,Gasoline,Automatic,0,8098.09
Ford,2010,155893.0,413.0,4.1,Hybrid,Automatic,0,45401.83
Volkswagen,2012,141888.0,288.0,3.1,Diesel,Automatic,0,29213.1
Honda,2024,1000.0,304.0,3.2,Diesel,Automatic,0,45918.84
Honda,2023,23649.0,138.0,2.4,Gasoline,Automatic,0,24491.37
Ford,2014,151255.0,321.0,3.3,Gasoline,Automatic,0,31672.9
Ford,2014,177689.0,336.0,3.3,Electric,Automatic,0,40820.5
Volkswagen,2018,120346.0,328.0,3.6,Diesel,Automatic,1,34422.98
Toyota,2019,49581.0,257.0,2.7,Hybrid,Automatic,0,36870.93
Hyundai,2023,23646.0,137.0,1.9,Gasoline,Manual,0,15107.43
Hyundai,2021,40835.0,140.0,1.9,Gasoline,Automatic,1,12678.96
BMW,2011,191992.0,388.0,3.7,Hybrid,Automatic,3,30358.69
Volkswagen,2011,309029.0,187.0,2.3,Diesel,Automatic,1,8381.16
Honda,2015,147261.0,305.0,3.3,Gasoline,Automatic,0,30331.94
Mercedes-Benz,2024,20423.0,266.0,2.8,Gasoline,Manual,1,50971.85
BMW,2018,149215.0,169.0,2.4,Hybrid,Manual,0,24746.1
Toyota,2010,266443.0,274.0,3.1,Diesel,Manual,0,19334.78
Audi,2018,77099.0,116.0,1.7,Diesel,Automatic,2,16838.17
Mercedes-Benz,2018,63692.0,284.0,3.2,Gasoline,Automatic,0,48441.41
Audi,2022,45070.0,303.0,3.4,Gasoline,Automatic,3,32391.14
BMW,2018,80216.0,203.0,2.1,Electric,Automatic,1,36264.53
Volkswagen,2014,95251.0,331.0,3.4,Gasoline,Automatic,1,30834.94
Ford,2022,41242.0,213.0,2.4,Diesel,Manual,1,23337.54
Audi,2024,5270.0,394.0,4.1,Hybrid,Manual,0,71781.74
Mercedes-Benz,2018,137966.0,165.0,2.1,Gasoline,Automatic,0,25788.31
Toyota,2020,67035.0,400.0,3.6,Gasoline,Automatic,2,38948.76
Toyota,2013,167914.0,401.0,3.9,Diesel,Automatic,1,34356.76
Ford,2011,164652.0,285.0,2.9,Diesel,Automatic,2,19740.66
Mercedes-Benz,2022,45238.0,133.0,2.1,Diesel,Automatic,2,29799.67
Hyundai,2015,138681.0,275.0,2.8,Gasoline,Manual,3,16023.18
Toyota,2023,23363.0,335.0,3.4,Diesel,Automatic,1,42846.78
Volkswagen,2013,166574.0,173.0,2.5,Diesel,Automatic,0,16617.85
Ford,2015,152820.0,296.0,3.3,Diesel,Automatic,0,28836.73
Hyundai,2012,189583.0,240.0,2.8,Gasoline,Manual,1,13723.94
Mercedes-Benz,2015,169878.0,245.0,2.7,Diesel,Automatic,0,30805.79
Mercedes-Benz,2011,133536.0,105.0,1.8,Electric,Automatic,0,13980.2
Ford,2011,150380.0,254.0,3.0,Diesel,Manual,0,18097.23
Ford,2022,56557.0,234.0,2.5,Diesel,Automatic,2,21933.69
Honda,2018,75933.0,126.0,2.1,Diesel,Manual,2,8618.06
Toyota,2016,136201.0,134.0,1.7,Hybrid,Automatic,1,10786.04
Mercedes-Benz,2012,66213.0,295.0,3.2,Hybrid,Automatic,0,42032.78
Mercedes-Benz,2022,73134.0,151.0,1.9,Gasoline,Automatic,1,32337.17
Hyundai,2020,63652.0,397.0,4.2,Gasoline,Automatic,1,38636.17
Hyundai,2010,271120.0,108.0,1.9,Gasoline,Manual,0,3500.0
Volkswagen,2017,105617.0,389.0,3.5,Gasoline,Manual,0,42327.51
Mercedes-Benz,2023,28557.0,96.0,1.7,Gasoline,Manual,0,34506.6
Audi,2015,185076.0,338.0,3.3,Hybrid,Manual,0,39400.77
Mercedes-Benz,2016,166529.0,206.0,2.3,Gasoline,Automatic,1,26134.63
Honda,2018,87261.0,157.0,2.2,Diesel,Manual,0,16539.53
Ford,2014,151375.0,123.0,1.7,Diesel,Automatic,3,4724.61
Toyota,2024,22377.0,283.0,3.2,Gasoline,Automatic,0,43280.13
Audi,2010,320000.0,414.0,4.1,Hybrid,Automatic,0,43457.69
Volkswagen,2021,64604.0,144.0,2.1,Hybrid,Automatic,0,25056.85
Honda,2019,127507.0,355.0,3.5,Diesel,Automatic,0,40441.07
BMW,2016,114916.0,131.0,2.1,Gasoline,Automatic,0,17792.36
Volkswagen,2024,24339.0,386.0,3.9,Gasoline,Manual,0,52668.29
Ford,2014,190686.0,320.0,3.4,Diesel,Automatic,0,30459.7
Toyota,2012,161463.0,99.0,1.4,Gasoline,Automatic,0,6506.83
BMW,2021,44509.0,217.0,2.4,Diesel,Automatic,1,36931.4
Volkswagen,2022,57053.0,,2.9,Hybrid,Automatic,0,40425.32
Mercedes-Benz,2018,90554.0,282.0,2.7,Gasoline,Automatic,0,43952.23
Volkswagen,2010,168311.0,181.0,2.3,Hybrid,Automatic,1,14719.13
Mercedes-Benz,2010,175211.0,320.0,3.6,Gasoline,Automatic,0,34481.91
Volkswagen,2010,180479.0,167.0,2.4,Hybrid,Automatic,2,13034.82
Volkswagen,2012,211846.0,174.0,2.4,Gasoline,Automatic,2,12490.66
Mercedes-Benz,2021,56640.0,119.0,2.0,Diesel,Automatic,0,32550.72
Ford,2015,173881.0,302.0,3.6,Gasoline,Manual,2,20795.11
Toyota,2019,83669.0,138.0,2.2,Hybrid,Automatic,1,18117.85
Toyota,2020,55685.0,354.0,3.7,Diesel,Automatic,2,34011.18
BMW,2012,219441.0,234.0,2.4,Gasoline,Manual,1,18204.64
Volkswagen,2017,146157.0,158.0,2.4,Diesel,Automatic,0,17286.65
BMW,2023,36732.0,147.0,2.1,Gasoline,Automatic,2,30795.25
Honda,2023,33862.0,274.0,2.9,Diesel,Automatic,0,38373.94
Toyota,2019,75240.0,151.0,2.0,Hybrid,Manual,0,19591.95
Toyota,2011,207856.0,397.0,3.7,Gasoline,Automatic,0,38563.66
Ford,2023,25576.0,385.0,4.0,Gasoline,Automatic,0,50697.64
Volkswagen,2018,93790.0,255.0,2.8,Gasoline,Automatic,0,29739.58
Ford,2012,110300.0,260.0,2.8,Diesel,Automatic,1,21561.9
Ford,2014,89166.0,152.0,1.9,Gasoline,Automatic,2,9653.47
Audi,2019,77722.0,236.0,2.7,Gasoline,Manual,0,34386.16
Ford,2017,101117.0,395.0,3.7,Gasoline,Automatic,3,28901.68
Volkswagen,2011,205741.0,250.0,2.7,Gasoline,Manual,2,15629.28
Mercedes-Benz,2015,143725.0,230.0,2.4,Electric,Automatic,0,36094.99
Ford,2021,64539.0,186.0,2.5,Gasoline,Automatic,0,22884.09
Volkswagen,2014,182018.0,310.0,3.2,Diesel,Automatic,1,28748.13
Mercedes-Benz,2022,28533.0,132.0,1.7,Diesel,Manual,1,30661.56
Audi,2019,88530.0,381.0,3.7,Diesel,Automatic,1,44993.11
Toyota,2018,138238.0,197.0,2.5,Gasoline,Manual,1,15838.48
Audi,2021,52214.0,355.0,3.5,Diesel,Automatic,0,57131.39
Volkswagen,2014,150745.0,184.0,2.4,Hybrid,Automatic,0,19349.1
Honda,2011,194857.0,351.0,3.5,Gasoline,Automatic,0,34932.72
Ford,2014,150881.0,402.0,3.6,Gasoline,Automatic,0,39639.99
Hyundai,2024,4935.0,160.0,2.3,Gasoline,Manual,1,21336.63
Volkswagen,2021,37986.0,308.0,2.9,Gasoline,Automatic,1,37429.47
Honda,2013,139486.0,110.0,1.9,Gasoline,Automatic,0,4898.46
Volkswagen,2024,22420.0,181.0,2.4,Diesel,Automatic,3,23889.53
Honda,2020,60604.0,216.0,2.5,Gasoline,Automatic,0,26038.39
Toyota,2016,119689.0,169.0,2.3,Diesel,Automatic,1,14361.34
Toyota,2015,,401.0,3.8,Diesel,Automatic,1,37290.26
Toyota,2023,25006.0,327.0,3.4,Diesel,Automatic,3,30601.84
Toyota,2011,229702.0,271.0,3.1,Diesel,Automatic,1,19518.63
Toyota,2021,32845.0,114.0,1.7,Gasoline,Automatic,0,19833.26
BMW,2020,67568.0,245.0,2.9,Electric,Automatic,3,33153.53
Honda,2020,70453.0,94.0,2.0,Diesel,Manual,1,10376.75
Ford,2022,40634.0,209.0,2.5,Diesel,Automatic,0,29947.58
Audi,2014,90742.0,366.0,3.5,Hybrid,Manual,1,40478.54
Ford,2016,162535.0,107.0,2.2,Gasoline,Manual,2,4532.83
BMW,2020,62260.0,287.0,3.1,Gasoline,Automatic,0,50476.72
Toyota,2016,125522.0,146.0,2.1,Diesel,Automatic,0,14289.8
Honda,2024,11299.0,182.0,2.4,Diesel,Manual,2,20663.36
Toyota,2014,188292.0,108.0,1.9,Hybrid,Automatic,1,5035.42
Toyota,2021,87720.0,282.0,2.9,Electric,Automatic,0,42509.59
Honda,2024,9869.0,326.0,3.4,Gasoline,Automatic,0,45351.31
Toyota,2018,90213.0,366.0,3.8,Gasoline,Automatic,0,42161.18
Toyota,2013,185698.0,316.0,3.2,Gasoline,Automatic,1,26767.27
Toyota,2020,46791.0,322.0,3.2,Gasoline,Automatic,1,36299.45
Ford,2012,217592.0,129.0,1.9,Diesel,Manual,0,4361.77
Honda,2024,17933.0,412.0,3.7,Diesel,Manual,0,53175.16
Ford,2013,187508.0,242.0,2.6,Diesel,Manual,0,20718.46
Volkswagen,2014,166250.0,216.0,2.4,Gasoline,Automatic,1,19119.4
BMW,2022,55184.0,326.0,3.3,Gasoline,Automatic,0,57334.26
Toyota,2015,94215.0,144.0,2.2,Gasoline,Automatic,0,13912.67
Mercedes-Benz,2012,183572.0,261.0,3.2,Hybrid,Automatic,0,31828.13
Volkswagen,2011,154810.0,198.0,2.4,Gasoline,Automatic,1,15213.66
Toyota,2023,39413.0,273.0,3.0,Hybrid,Manual,0,40668.75
Mercedes-Benz,2022,32258.0,287.0,3.1,Diesel,Automatic,0,57351.69
Audi,2013,168045.0,176.0,1.8,Diesel,Automatic,2,14616.85
Toyota,2014,167463.0,290.0,2.8,Gasoline,Manual,0,24925.27
Honda,2013,128968.0,411.0,4.1,Diesel,Manual,0,39486.37
Mercedes-Benz,2023,29528.0,364.0,3.8,Diesel,Automatic,2,52572.9
BMW,2020,76073.0,300.0,3.3,Diesel,Automatic,0,47458.38
Honda,2022,51450.0,207.0,2.4,Gasoline,Automatic,0,28416.4
Honda,2024,11648.0,280.0,2.6,Diesel,Automatic,0,42406.61
Ford,2021,47245.0,131.0,1.7,Diesel,Automatic,1,15376.54
Volkswagen,2012,227526.0,131.0,1.8,Gasoline,Manual,0,7203.84
Volkswagen,2017,110420.0,404.0,4.0,Gasoline,Automatic,1,40185.28
Ford,2019,76346.0,365.0,3.5,Electric,Automatic,0,51268.68
Ford,2013,204430.0,418.0,4.3,Gasoline,Automatic,0,41133.65
BMW,2023,18355.0,106.0,2.1,Gasoline,Automatic,1,32331.7
Toyota,2011,236494.0,372.0,4.0,Gasoline,Automatic,3,22016.41
Honda,2011,167021.0,347.0,3.3,Diesel,Automatic,0,33811.36
BMW,2010,197820.0,152.0,2.2,Gasoline,Automatic,1,13788.43
Audi,2022,53358.0,151.0,2.0,Diesel,Automatic,0,32992.87
Volkswagen,2013,166173.0,189.0,2.4,Gasoline,Automatic,0,15974.8
Volkswagen,2019,96592.0,108.0,1.6,Gasoline,Manual,0,12040.45
Toyota,2018,94506.0,106.0,2.0,Diesel,Automatic,1,10373.48
Ford,2023,43255.0,414.0,3.8,Gasoline,Automatic,0,53699.85
Volkswagen,2020,90966.0,335.0,3.0,Electric,Automatic,0,50036.96
Honda,2016,80376.0,340.0,3.8,Gasoline,Manual,0,35744.29
Honda,2024,15952.0,170.0,2.3,Gasoline,Automatic,0,29778.38
Ford,2021,43068.0,128.0,1.7,Gasoline,Automatic,2,13286.06
Toyota,2019,91064.0,125.0,1.9,Gasoline,Automatic,3,12056.69
Honda,2016,141984.0,286.0,2.9,Electric,Automatic,1,31570.46
Honda,2022,31414.0,247.0,2.8,Hybrid,Automatic,0,37112.15
Honda,2024,13496.0,293.0,3.3,Gasoline,Automatic,0,42258.5
Toyota,2016,139495.0,285.0,3.2,Diesel,Automatic,1,25548.54
Audi,2024,5060.0,305.0,3.2,Diesel,Automatic,3,38584.99
Volkswagen,2017,92788.0,,3.7,Gasoline,Manual,0,39746.79
BMW,2010,214363.0,285.0,3.3,Gasoline,Manual,2,19345.44
Mercedes-Benz,2019,91152.0,396.0,3.4,Hybrid,Automatic,3,41587.37
Volkswagen,2022,37592.0,241.0,2.6,Electric,Automatic,2,32201.11
Toyota,2019,24360.0,103.0,1.5,Electric,Automatic,0,15562.95
Volkswagen,2017,113847.0,414.0,4.2,Diesel,Manual,0,45623.6
Volkswagen,2013,112803.0,235.0,2.5,Diesel,Automatic,0,24692.29
BMW,2013,159659.0,146.0,1.8,Gasoline,Automatic,0,14962.54
Ford,2013,106199.0,300.0,3.3,Gasoline,Manual,0,27573.18
Toyota,2015,95496.0,357.0,3.4,Gasoline,Automatic,0,37919.78
Honda,2016,160818.0,299.0,3.1,Diesel,Automatic,1,26148.91
Ford,2015,120634.0,106.0,2.2,Diesel,Automatic,0,7998.83
BMW,2010,195205.0,375.0,3.8,Hybrid,Automatic,0,44951.77
Volkswagen,2021,68465.0,292.0,3.0,Hybrid,Automatic,1,39176.75
Ford,2017,97662.0,188.0,2.3,Hybrid,Manual,1,17447.6
Hyundai,2022,62094.0,368.0,3.8,Electric,Automatic,1,46442.17
Volkswagen,2019,73682.0,298.0,3.3,Gasoline,Manual,0,34134.65
Honda,2024,16911.0,218.0,2.6,Diesel,Automatic,1,30349.85
Toyota,2020,95652.0,377.0,3.7,Diesel,Manual,0,39380.12
Toyota,2022,62338.0,341.0,3.1,Gasoline,Automatic,0,45282.04
Honda,2016,107805.0,354.0,3.2,Electric,Automatic,1,40964.78
Toyota,2015,129470.0,360.0,3.5,Hybrid,Manual,0,39608.12
Honda,2015,184610.0,277.0,2.9,Gasoline,Automatic,0,25883.01
Honda,2014,190604.0,303.0,3.3,Gasoline,Manual,0,27911.14
Toyota,2015,181356.0,372.0,3.7,Diesel,Automatic,0,38263.67
Audi,2021,44035.0,300.0,3.0,Diesel,Automatic,0,50851.13
Toyota,2018,133628.0,165.0,2.2,Hybrid,Manual,1,16169.34
Volkswagen,2019,59320.0,237.0,2.6,Gasoline,Manual,0,30450.17
Ford,2018,107937.0,410.0,4.3,Gasoline,Automatic,3,29790.1
Hyundai,2024,15230.0,302.0,3.2,Gasoline,Manual,0,37048.28
Toyota,2019,64072.0,198.0,2.1,Gasoline,Automatic,0,24852.05
Ford,2017,71248.0,218.0,2.9,Gasoline,Automatic,0,22928.22
Hyundai,2019,60153.0,99.0,1.6,Hybrid,Automatic,0,10387.44
Mercedes-Benz,2018,97705.0,136.0,1.8,Gasoline,Automatic,1,24718.64
Mercedes-Benz,2022,21718.0,404.0,4.3,Gasoline,Automatic,0,71059.91
Honda,2019,,185.0,2.4,Gasoline,Automatic,0,22609.62
Toyota,2017,111797.0,192.0,2.5,Gasoline,Manual,1,16831.6
BMW,2017,49505.0,235.0,2.8,Hybrid,Manual,0,39182.07
Audi,2010,254183.0,116.0,1.8,Diesel,Manual,2,4820.36
Volkswagen,2019,27040.0,309.0,3.1,Diesel,Manual,1,34511.1
Volkswagen,2020,78500.0,107.0,1.7,Gasoline,Manual,0,17043.83
Honda,2014,154481.0,256.0,3.2,Gasoline,Automatic,0,23717.09
Mercedes-Benz,2013,186410.0,171.0,2.3,Diesel,Automatic,0,19840.25
Honda,2011,188561.0,161.0,2.4,Gasoline,Automatic,2,8693.37
Honda,2017,172683.0,399.0,3.8,Hybrid,Manual,0,43454.26
Ford,2012,193037.0,343.0,3.3,Gasoline,Automatic,0,33047.78
Volkswagen,2013,213977.0,251.0,2.5,Diesel,Automatic,0,22253.63
Honda,2021,52304.0,416.0,4.1,Gasoline,Automatic,0,53215.16
Toyota,2016,125793.0,127.0,2.2,Diesel,Automatic,0,10102.31
Volkswagen,2019,123330.0,290.0,2.9,Hybrid,Automatic,1,32776.61
Honda,2018,89581.0,289.0,3.2,Diesel,Automatic,0,34505.45
Volkswagen,2011,216240.0,344.0,3.2,Diesel,Automatic,2,26069.36
Toyota,2012,229623.0,268.0,2.8,Electric,Manual,2,19627.62
Volkswagen,2013,132225.0,124.0,1.9,Diesel,Automatic,0,9370.95
Volkswagen,2019,28480.0,171.0,1.9,Gasoline,Automatic,0,25542.59
Toyota,2010,227462.0,309.0,3.2,Gasoline,Manual,0,26937.1
Ford,2016,155272.0,247.0,2.6,Diesel,Automatic,1,20411.39
Toyota,2011,129001.0,93.0,1.8,Diesel,Automatic,0,3500.0
Toyota,2014,183634.0,256.0,2.8,Gasoline,Automatic,3,15882.99
Hyundai,2024,21421.0,293.0,3.3,Gasoline,Manual,1,31979.5
Honda,2010,96760.0,283.0,3.0,Electric,Automatic,0,32610.99
Mercedes-Benz,2012,133525.0,324.0,3.0,Gasoline,Automatic,1,36125.2
Honda,2021,57588.0,295.0,2.8,Gasoline,Automatic,0,40101.19
BMW,2011,184303.0,239.0,2.3,Gasoline,Manual,1,19936.84
Mercedes-Benz,2010,159704.0,248.0,2.9,Hybrid,Automatic,0,29974.13
Volkswagen,2016,95002.0,368.0,4.1,Gasoline,Automatic,0,41682.15
Ford,2014,219442.0,393.0,3.9,Diesel,Automatic,0,37161.09
Ford,2010,199459.0,255.0,3.2,Gasoline,Manual,2,13641.15
Ford,2015,115233.0,400.0,4.1,Diesel,Automatic,0,43351.95
Audi,2014,154106.0,157.0,2.0,Hybrid,Automatic,3,12751.55
Mercedes-Benz,2024,14973.0,177.0,2.5,Gasoline,Manual,0,48102.92
Hyundai,2012,181877.0,306.0,3.1,Diesel,Automatic,0,30110.27
Toyota,2021,46866.0,90.0,1.6,Gasoline,Automatic,0,15686.07
